# https://www.latlong.net/category/cities-235-15.html
city,region,latitude,longitude
York,North Yorkshire,53.958332,-1.080278
Worcester,Worcestershire,52.192001,-2.220000
Winchester,Hampshire,51.063202,-1.308000
Wells,South West England,51.209000,-2.647000
Wakefield,West Yorkshire,53.680000,-1.490000
Truro,Cornwall,50.259998,-5.051000
Sunderland,North East,54.906101,-1.381130
Sheffield,South Yorkshire,53.383331,-1.466667
Salford,North West,53.483002,-2.293100
St. Davids,Wales,51.882000,-5.269000
St.Albans,Hertfordshire,51.755001,-0.336000
Ripon,North Yorkshire,54.138000,-1.524000
Portsmouth,Hampshire,50.805832,-1.087222
Perth,Scotland,56.396999,-3.437000
Nottingham,Nottinghamshire,52.950001,-1.150000
Newry,Northern Ireland,54.175999,-6.349000
Newcastle Upon Tyne,Newcastle Upon Tyne,54.966667,-1.600000
Liverpool,Merseyside,53.400002,-2.983333
Lincoln,Lincolnshire,53.234444,-0.538611
Lichfield,Staffordshire,52.683498,-1.826530
Leicester,East Midlands,52.633331,-1.133333
Lancaster,Lancashire,54.047001,-2.801000
Hereford,Herefordshire,52.056499,-2.716000
Gloucester,Gloucestershire,51.864445,-2.244444
Glasgow,Scotland,55.860916,-4.251433
Exeter,South West,50.716667,-3.533333
Ely,Cambridgeshire,52.398056,0.262222
Durham,County Durham,54.776100,-1.573300
Dundee,Scotland,56.462002,-2.970700
Derry,Northern Ireland,54.995800,-7.307400
Derby,Derbyshire,52.916668,-1.466667
Coventry,West Midlands,52.408054,-1.510556
Chichester,West Sussex,50.836498,-0.779200
Chester,Chesire,53.189999,-2.890000
Chelmsford,Essex,51.736099,0.479800
Carlisle,North West,54.890999,-2.944000
Canterbury,Kent,51.279999,1.080000
Cambridge,Cambridgeshire,52.205276,0.119167
Brighton & Hove,East Sussex,50.827778,-0.152778
Bradford,West Yorkshire,53.799999,-1.750000
Bath,Somerset,51.380001,-2.360000
Peterborough,Cambridgeshire,52.573921,-0.250830
Elgin,Scotland,57.653484,-3.335724
Stoke-on-Trent,Staffordshire,53.002666,-2.179404
Solihull,Birmingham,52.412811,-1.778197
Cardiff,Wales,51.481583,-3.179090
Eastbourne,East Sussex,50.768036,0.290472
Oxford,Oxfordshire,51.752022,-1.257677
London,London,51.509865,-0.118092
Swindon,Swindon,51.568535,-1.772232
Gravesend,Kent,51.441883,0.370759
Northampton,Northamptonshire,52.240479,-0.902656
Rugby,Warwickshire,52.370876,-1.265032
Sutton Coldfield,West Midlands,52.570385,-1.824042
Harlow,Essex,51.772938,0.102310
Aberdeen,Scotland,57.149651,-2.099075
Swansea,Wales,51.621441,-3.943646
Chesterfield,Derbyshire,53.235046,-1.421629
Lisburn,Ireland,54.509720,-6.037400
Londonderry,Derry,55.006763,-7.318268
Salisbury,Wiltshire,51.068787,-1.794472
Manchester,Manchester,53.483959,-2.244644
Bristol,City of Bristol,51.454514,-2.587910
Wolverhampton,West Midlands,52.591370,-2.110748
Preston,Lancashire,53.765762,-2.692337
Bournemouth,South East,50.720806,-1.904755
Doncaster,South Yorkshire,53.522820,-1.128462
Ayr,South Ayrshire,55.458565,-4.629179
Hastings,East Sussex,50.854259,0.573453
Bedford,Bedfordshire,52.136436,-0.460739
Basildon,Essex,51.572376,0.470009
Chippenham,Wiltshire,51.458057,-2.116074
Birmingham,West Midlands,52.489471,-1.898575
Folkestone,Kent,51.081398,1.169456
Edinburgh,Scotland,55.953251,-3.188267
Southampton,South West,50.909698,-1.404351
Belfast,Northern Ireland,54.607868,-5.926437
Uckfield,East Sussex,50.967941,0.085831
Worthing,West Sussex,50.825024,-0.383835
Leeds,West Yorkshire,53.801277,-1.548567
Kendal,Cumbria,54.328506,-2.743870
Hull,The Humber,53.747372,-0.338653
Plymouth,South West,50.376289,-4.143841
Haverhill,Suffolk,52.080875,0.444517
Frankton,Warwickshire,52.328415,-1.377561
Inverness,Scotland,57.477772,-4.224721
Reading,South,51.454032,-0.978630
Luton,South,51.878807,-0.417521
Bolton,North West,53.576794,-2.429644
Norwich,East Anglia,52.630590,1.297120
Milton Keynes,Buckinghamshire,52.040774,-0.758988
Southend-on-Sea,Essex,51.544870,0.709502
Middlesbrough,North Yorkshire,54.573615,-1.235037
